[*:1]c1ccc(F)c(C(=N)N)c1,[*:1]/C(C)=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl,[*:1]c1ccc2ccnc(N)c2c1
[*:1]S(C)(=O)=O,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)c1ccccc1
[*:1]S(C)(=O)=O,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)COC
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N(C)C
[*:1]C(C)=O,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCC
[*:1]S(=O)(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCC
[*:1]C(=O)OC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCC
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCCOC
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)NC
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)C
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)(C)C
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)C(C)C
[*:1]C(=O)N1CCCC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCC
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)CC
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C1CC1
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)c1ccccc1
[*:1]C(=O)COC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCC
[*:1]C(C)=O,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N(C)C
[*:1]C(=O)N(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)CC
[*:1]C(=O)OC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N(C)C
[*:1]C(=O)N(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCCOC
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N(C)C
[*:1]C(=O)N(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)C
[*:1]C(=O)N(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)(C)C
[*:1]C(=O)N(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)C(C)C
[*:1]C(=O)N1CCCC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N(C)C
[*:1]C(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N(C)C
[*:1]C(=O)C1CC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N(C)C
[*:1]C(=O)c1ccccc1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N(C)C
[*:1]C(=O)N(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)COC
[*:1]S(=O)(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(C)=O
[*:1]C(=O)OC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(C)=O
[*:1]C(=O)OCCOC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(C)=O
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(C)=O
[*:1]C(C)=O,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)C
[*:1]C(C)=O,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)(C)C
[*:1]S(=O)(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(C)=O
[*:1]C(C)=O,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N1CCCC1
[*:1]C(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(C)=O
[*:1]C(=O)C1CC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(C)=O
[*:1]C(=O)c1ccccc1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(C)=O
[*:1]C(=O)COC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(C)=O
[*:1]C(=O)OC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)CC
[*:1]S(=O)(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCCOC
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)CC
[*:1]S(=O)(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)C
[*:1]C(=O)C(C)(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)CC
[*:1]S(=O)(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)C(C)C
[*:1]S(=O)(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N1CCCC1
[*:1]S(=O)(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)CC
[*:1]C(=O)C1CC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)CC
[*:1]S(=O)(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)c1ccccc1
[*:1]S(=O)(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)COC
[*:1]C(=O)OC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCCOC
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OC
[*:1]C(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OC
[*:1]C(=O)OC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)(C)C
[*:1]S(=O)(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OC
[*:1]C(=O)OC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N1CCCC1
[*:1]C(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OC
[*:1]C(=O)C1CC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OC
[*:1]C(=O)c1ccccc1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OC
[*:1]C(=O)COC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OC
[*:1]C(=O)OCCOC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)NC
[*:1]C(=O)OCCOC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)C
[*:1]C(=O)C(C)(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCCOC
[*:1]S(=O)(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCCOC
[*:1]C(=O)N1CCCC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCCOC
[*:1]C(=O)OCCOC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)CC
[*:1]C(=O)C1CC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCCOC
[*:1]C(=O)c1ccccc1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCCOC
[*:1]C(=O)COC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)OCCOC
[*:1]C(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)NC
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)(C)C
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)C(C)C
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N1CCCC1
[*:1]C(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)NC
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C1CC1
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)c1ccccc1
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)COC
[*:1]C(=O)NC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1][H]
[*:1]C(=O)C(C)(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)C
[*:1]C(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)C(C)C
[*:1]C(=O)N1CCCC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)C
[*:1]C(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)CC
[*:1]C(=O)C1CC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)C
[*:1]C(=O)c1ccccc1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)C
[*:1]C(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)COC
[*:1][H],[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)C
[*:1]C(=O)C(C)(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)C(C)C
[*:1]C(=O)C(C)(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N1CCCC1
[*:1]C(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)(C)C
[*:1]C(=O)C1CC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)(C)C
[*:1]C(=O)c1ccccc1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C(C)(C)C
[*:1]C(=O)C(C)(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)COC
[*:1]C(=O)C(C)(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1][H]
[*:1]C(=O)N1CCCC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)C(C)C
[*:1]S(=O)(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)CC
[*:1]S(=O)(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C1CC1
[*:1]S(=O)(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)c1ccccc1
[*:1]C(=O)COC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]S(=O)(=O)C(C)C
[*:1]S(=O)(=O)C(C)C,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1][H]
[*:1]C(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N1CCCC1
[*:1]C(=O)COC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)N1CCCC1
[*:1]C(=O)N1CCCC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1][H]
[*:1]C(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C1CC1
[*:1]C(=O)c1ccccc1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)CC
[*:1]C(=O)COC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)CC
[*:1]C(=O)CC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1][H]
[*:1]C(=O)C1CC1,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)COC
[*:1][H],[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)C1CC1
[*:1]C(=O)COC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)c1ccccc1
[*:1][H],[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,[*:1]C(=O)c1ccccc1
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc3c(Cl)c[nH]c3c2)C1,[*:1]C(C)=O
[*:1]C(=O)OCC,[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc3c(Cl)c[nH]c3c2)C1,[*:1][H]
[*:1][H],[*:1]N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc3c(Cl)c[nH]c3c2)C1,[*:1]C(C)=O
[*:1]c1ccc([*:2])cc1,[*:2]N=C(N)N.[*:1]NC(=O)c1cc2cc3ccccc3cc2c(OC(C)C)c1O,[*:1]c1ccc([*:2])nc1
[*:1]Cl,[*:1]c1cc(-c2ccccc2S(N)(=O)=O)ccc1NC(=O)/C(F)=C(/C)c1ccc2ccnc(N)c2c1,[*:1]Br
[*:1]F,[*:1]c1cc(-c2ccccc2S(N)(=O)=O)ccc1NC(=O)/C(F)=C(/C)c1ccc2ccnc(N)c2c1,[*:1]Cl
[*:1]Br,[*:1]c1cc(-c2ccccc2S(N)(=O)=O)ccc1NC(=O)/C(F)=C(/C)c1ccc2ccnc(N)c2c1,[*:1]F
[*:1]C(=O)NCC,[*:1][C@@H]1CCCC[C@@H]1NC(=O)C(Cc1ccccc1)c1csc2ccc(C(=N)N)cc12,[*:1]C(=O)OC
[*:1]C(=O)OCC,[*:1][C@@H]1CCCC[C@@H]1NC(=O)C(Cc1ccccc1)c1csc2ccc(C(=N)N)cc12,[*:1]C(=O)OC
[*:1]C(=O)OC,[*:1][C@@H]1CCCC[C@@H]1NC(=O)C(Cc1ccccc1)c1csc2ccc(C(=N)N)cc12,[*:1]C(=O)O
[*:1]C(=O)NCC,[*:1][C@@H]1CCCC[C@@H]1NC(=O)C(Cc1ccccc1)c1csc2ccc(C(=N)N)cc12,[*:1]C(=O)OCC
[*:1]C(=O)O,[*:1][C@@H]1CCCC[C@@H]1NC(=O)C(Cc1ccccc1)c1csc2ccc(C(=N)N)cc12,[*:1]C(=O)NCC
[*:1][C@@H]1CCCC[C@@H]1C(=O)OC,[*:1]NC(=O)C(Cc1ccccc1)c1csc2ccc(C(=N)N)cc12,[*:1][C@H]1CCCC[C@H]1C(=O)NCC
[*:1]C(=O)O,[*:1][C@@H]1CCCC[C@@H]1NC(=O)C(Cc1ccccc1)c1csc2ccc(C(=N)N)cc12,[*:1]C(=O)OCC
[*:1][C@@H]1CCCC[C@@H]1C(=O)OC,[*:1]NC(=O)C(Cc1ccccc1)c1csc2ccc(C(=N)N)cc12,[*:1][C@H]1CCCC[C@H]1C(=O)OCC
[*:1][C@@H]1CCCC[C@@H]1C(=O)OC,[*:1]NC(=O)C(Cc1ccccc1)c1csc2ccc(C(=N)N)cc12,[*:1][C@H]1CCCC[C@H]1C(=O)O
[*:1]O[*:2],[*:2]c1ccc(NC(=O)C(Cc2ccccc2)c2csc3ccc(C(=N)N)cc23)cc1.[*:1]c1ccccc1,[*:1]c1cn([*:2])cn1
[*:1]c1ccccc1OC,[*:1]NC(=O)C(Oc1cccc2sc(C(=N)N)cc12)c1ccccc1,[*:1]c1ccc(C(=O)N(C)C)cc1
[*:1]C(=O)N(C)C,[*:1]c1ccc(NC(=O)C(Oc2cccc3sc(C(=N)N)cc23)c2ccccc2)cc1,[*:1][H]
[*:1]c1ccc(C(=O)N(C)C)cc1,[*:1]NC(=O)C(Oc1cccc2sc(C(=N)N)cc12)c1ccccc1,[*:1]c1cccc(OC)c1
[*:1]c1ccc([*:2])cc1,[*:1]NC(=O)C(Oc1cccc2sc(C(=N)N)cc12)c1ccccc1.[*:2]OC,[*:1]c1ccccc1[*:2]
[*:1][H],[*:1]c1ccc(NC(=O)C(Oc2cccc3sc(C(=N)N)cc23)c2ccccc2)cc1,[*:1]OC
[*:1]c1cccc([*:2])c1,[*:1]NC(=O)C(Oc1cccc2sc(C(=N)N)cc12)c1ccccc1.[*:2]OC,[*:1]c1ccc([*:2])cc1
[*:1]OC,[*:1]c1ccccc1NC(=O)C(Oc1cccc2sc(C(=N)N)cc12)c1ccccc1,[*:1][H]
[*:1]c1cccc([*:2])c1,[*:1]NC(=O)C(Oc1cccc2sc(C(=N)N)cc12)c1ccccc1.[*:2]OC,[*:1]c1ccccc1[*:2]
[*:1]OC,[*:1]c1cccc(NC(=O)C(Oc2cccc3sc(C(=N)N)cc23)c2ccccc2)c1,[*:1][H]
[*:1]c1ccc(-c2cccc([*:2])c2)cc1,[*:1]NC(=O)C1(CC(=O)OC)CC(c2cccc(C(=N)N)c2)=NO1.[*:2]S(N)(=O)=O,[*:1]c1ccc(-c2ccccc2[*:2])nc1
[*:1]CCc1cccc([*:2])c1,[*:2]NC(=O)C1CCN(c2ccncc2)CC1.[*:1]c1cccc(F)c1,[*:1]COc1ccc([*:2])cc1
[*:1]c1ccncc1,[*:1]NC(=O)CN1CCN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CC1=O,[*:1]c1ccncn1
[*:1]c1ccc([*:2])c(I)c1,[*:2]NC(=O)Cc1c[nH]c2ccc(C(=N)N)cc12.[*:1]c1ccccc1S(N)(=O)=O,[*:1]c1ccc([*:2])nc1
[*:1]c1ccc([*:2])nc1,[*:2]NC(=O)Cc1c[nH]c2ccc(C(=N)N)cc12.[*:1]c1ccccc1S(N)(=O)=O,[*:1]c1ccc([*:2])c(Cl)c1
[*:1]c1ccc([*:2])c(Br)c1,[*:2]NC(=O)Cc1c[nH]c2ccc(C(=N)N)cc12.[*:1]c1ccccc1S(N)(=O)=O,[*:1]c1ccc([*:2])nc1
[*:1]c1ccc([*:2])nc1,[*:2]NC(=O)Cc1c[nH]c2ccc(C(=N)N)cc12.[*:1]c1ccccc1S(N)(=O)=O,[*:1]c1ccc([*:2])cc1
